================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 12:47:05
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[12:47:06] +   0.2s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:58:44] + 698.8s | RAM: 27.31/27.65 GB ( 98.8%) | VRAM: N/A
[12:58:45] + 699.8s | RAM: 26.81/27.65 GB ( 97.0%) | VRAM: N/A
[12:58:46] + 700.8s | RAM: 26.78/27.65 GB ( 96.9%) | VRAM: N/A
[12:58:47] + 701.8s | RAM: 23.93/27.65 GB ( 86.6%) | VRAM: N/A
[12:58:48] + 702.9s | RAM: 17.55/27.65 GB ( 63.5%) | VRAM: N/A
[12:58:49] + 703.9s | RAM: 10.29/27.65 GB ( 37.2%) | VRAM: N/A
[12:58:50] + 704.9s | RAM: 10.04/27.65 GB ( 36.3%) | VRAM: N/A
[12:58:51] + 705.9s | RAM: 10.00/27.65 GB ( 36.2%) | VRAM: N/A
[12:58:52] + 706.9s | RAM:  9.97/27.65 GB ( 36.1%) | VRAM: N/A
[12:58:53] + 707.9s | RAM:  9.94/27.65 GB ( 35.9%) | VRAM: N/A
[12:58:54] + 708.9s | RAM:  9.93/27.65 GB ( 35.9%) | VRAM: N/A
[12:58:55] + 709.9s | RAM:  9.93/27.65 GB ( 35.9%) | VRAM: N/A
[12:58:56] + 710.9s | RAM:  9.92/27.65 GB ( 35.9%) | VRAM: N/A
[12:58:57] + 711.9s | RAM:  9.95/27.65 GB ( 36.0%) | VRAM: N/A
[12:58:58] + 713.0s | RAM:  9.92/27.65 GB ( 35.9%) | VRAM: N/A
[12:58:59] + 714.0s | RAM:  9.92/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:00] + 715.0s | RAM:  9.92/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:01] + 716.0s | RAM:  9.92/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:02] + 717.0s | RAM:  9.91/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:03] + 718.0s | RAM:  9.93/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:04] + 719.1s | RAM: 10.10/27.65 GB ( 36.5%) | VRAM: N/A
[12:59:05] + 720.1s | RAM:  9.91/27.65 GB ( 35.9%) | VRAM: N/A
[12:59:06] + 721.1s | RAM:  9.91/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:07] + 722.1s | RAM:  9.91/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:08] + 723.1s | RAM:  9.90/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:09] + 724.1s | RAM:  9.90/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:11] + 725.2s | RAM:  9.96/27.65 GB ( 36.0%) | VRAM: N/A
[12:59:12] + 726.2s | RAM:  9.91/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:13] + 727.2s | RAM:  9.90/27.65 GB ( 35.8%) | VRAM: N/A
[12:59:14] + 728.2s | RAM:  9.82/27.65 GB ( 35.5%) | VRAM: N/A
[12:59:15] + 729.2s | RAM:  9.81/27.65 GB ( 35.5%) | VRAM: N/A
[12:59:16] + 730.2s | RAM:  9.81/27.65 GB ( 35.5%) | VRAM: N/A
[12:59:17] + 731.3s | RAM:  9.70/27.65 GB ( 35.1%) | VRAM: N/A
[12:59:18] + 732.3s | RAM:  9.67/27.65 GB ( 35.0%) | VRAM: N/A
[12:59:19] + 733.3s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:20] + 734.3s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:21] + 735.3s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:22] + 736.3s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:23] + 737.4s | RAM:  9.69/27.65 GB ( 35.0%) | VRAM: N/A
[12:59:24] + 738.4s | RAM:  9.66/27.65 GB ( 35.0%) | VRAM: N/A
[12:59:25] + 739.4s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:26] + 740.4s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:27] + 741.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:28] + 742.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:29] + 743.5s | RAM:  9.69/27.65 GB ( 35.0%) | VRAM: N/A
[12:59:30] + 744.5s | RAM:  9.85/27.65 GB ( 35.6%) | VRAM: N/A
[12:59:31] + 745.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:32] + 746.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:33] + 747.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:34] + 748.5s | RAM:  9.66/27.65 GB ( 34.9%) | VRAM: N/A
[12:59:35] + 749.6s | RAM:  9.67/27.65 GB ( 35.0%) | VRAM: N/A
[12:59:36] + 750.6s | RAM:  9.83/27.65 GB ( 35.6%) | VRAM: N/A
[12:59:37] + 751.6s | RAM:  9.64/27.65 GB ( 34.9%) | VRAM: N/A

================================================================================
FIN - 2026-06-09 12:59:38
Durée totale: 752.3s
Mesures enregistrées: 639
================================================================================
